"state","s_fips","county","c_fips","happening","happening_oppose"
"IDAHO",16,"BLAINE COUNTY",13,74.479,10.814
"ILLINOIS",17,"CALHOUN COUNTY",13,61.67,17.608
"INDIANA",18,"BROWN COUNTY",13,63.966,17.469
"IOWA",19,"BLACK HAWK COUNTY",13,72.313,11.198
"ALASKA",2,"ALEUTIANS EAST BOROUGH",13,74.302,10.035
"KANSAS",20,"BROWN COUNTY",13,63.222,17.858
"KENTUCKY",21,"BELL COUNTY",13,58.982,18.017
"LOUISIANA",22,"BIENVILLE PARISH",13,66.51,11.876
"MAINE",23,"KNOX COUNTY",13,74.403,10.808
"MARYLAND",24,"CARROLL COUNTY",13,66.388,16.926
"MASSACHUSETTS",25,"HAMPDEN COUNTY",13,72.55,11.279
"MICHIGAN",26,"BARAGA COUNTY",13,64.021,15.25
"MINNESOTA",27,"BLUE EARTH COUNTY",13,68.771,14.995
"MISSISSIPPI",28,"CALHOUN COUNTY",13,60.517,15.717
"MISSOURI",29,"BATES COUNTY",13,59.594,16.945
"MONTANA",30,"CASCADE COUNTY",13,65.741,17.466
"NEBRASKA",31,"BOX BUTTE COUNTY",13,60.333,19.411
"NEVADA",32,"HUMBOLDT COUNTY",13,63.263,14.718
"NEW HAMPSHIRE",33,"MERRIMACK COUNTY",13,68.567,12.763
"NEW JERSEY",34,"ESSEX COUNTY",13,80.043,4.874
"NEW MEXICO",35,"DOÑA ANA COUNTY",13,74.443,10.094
"NEW YORK",36,"CHAUTAUQUA COUNTY",13,67.237,13.943
"NORTH CAROLINA",37,"BEAUFORT COUNTY",13,65.83,14.199
"NORTH DAKOTA",38,"BURKE COUNTY",13,58.641,19.832
"OHIO",39,"BELMONT COUNTY",13,56.114,19.927
"ARIZONA",4,"MARICOPA COUNTY",13,69.218,13.516
"OKLAHOMA",40,"BRYAN COUNTY",13,61.09,19.696
"OREGON",41,"CROOK COUNTY",13,65.115,16.96
"PENNSYLVANIA",42,"BLAIR COUNTY",13,63.334,17.764
"SOUTH CAROLINA",45,"BEAUFORT COUNTY",13,72.669,11.27
"SOUTH DAKOTA",46,"BROWN COUNTY",13,66.199,15.924
"TENNESSEE",47,"CAMPBELL COUNTY",13,58.918,18.166
"TEXAS",48,"ATASCOSA COUNTY",13,68.842,12.662
"UTAH",49,"DUCHESNE COUNTY",13,57.866,22.079
"ARKANSAS",5,"CALHOUN COUNTY",13,58.442,17.75
"VERMONT",50,"GRAND ISLE COUNTY",13,73.677,10.887
"VIRGINIA",51,"ARLINGTON COUNTY",13,83.652,6.317
"WASHINGTON",53,"COLUMBIA COUNTY",13,69.106,14.621
"WEST VIRGINIA",54,"CALHOUN COUNTY",13,59.352,19.424
"WISCONSIN",55,"BURNETT COUNTY",13,64.888,16.029
"WYOMING",56,"FREMONT COUNTY",13,65.864,16.204
"CALIFORNIA",6,"CONTRA COSTA COUNTY",13,80.108,7.328
"COLORADO",8,"BOULDER COUNTY",13,77.186,8.376
"CONNECTICUT",9,"TOLLAND COUNTY",13,72.124,11.391
"ALASKA",2,"KETCHIKAN GATEWAY BOROUGH",130,73.829,11.414
"ALABAMA",1,"WILCOX COUNTY",131,68.966,7.136
"FLORIDA",12,"WALTON COUNTY",131,65.443,17.392
"GEORGIA",13,"GRADY COUNTY",131,66.298,13.028
"ILLINOIS",17,"MERCER COUNTY",131,61.599,16.521
"INDIANA",18,"PULASKI COUNTY",131,60.855,18.224
"IOWA",19,"MITCHELL COUNTY",131,65.8,15.28
"KANSAS",20,"NEMAHA COUNTY",131,60.664,19.915
"KENTUCKY",21,"LESLIE COUNTY",131,51.866,23.471
"MICHIGAN",26,"ONTONAGON COUNTY",131,62.452,17.369
"MINNESOTA",27,"RICE COUNTY",131,71.08,11.131
"MISSISSIPPI",28,"STONE COUNTY",131,62.349,15.737
"MISSOURI",29,"MILLER COUNTY",131,61.261,18.469
"NEBRASKA",31,"OTOE COUNTY",131,60.763,17.203
"NORTH CAROLINA",37,"NORTHAMPTON COUNTY",131,72.754,7.463
"OHIO",39,"PIKE COUNTY",131,61.867,17.333
"OKLAHOMA",40,"ROGERS COUNTY",131,57.363,21.629
"PENNSYLVANIA",42,"WYOMING COUNTY",131,64.381,16.084
"TENNESSEE",47,"OBION COUNTY",131,57.629,18.709
"TEXAS",48,"DUVAL COUNTY",131,79.017,7.1
"ARKANSAS",5,"SEBASTIAN COUNTY",131,68.667,15.008
"VIRGINIA",51,"NORTHAMPTON COUNTY",131,73.208,8.732
"WISCONSIN",55,"WASHINGTON COUNTY",131,62.566,18.17
"ALABAMA",1,"WINSTON COUNTY",133,54.685,22.673
"FLORIDA",12,"WASHINGTON COUNTY",133,56.097,19.229
"GEORGIA",13,"GREENE COUNTY",133,67.254,12.289
"ILLINOIS",17,"MONROE COUNTY",133,57.897,17.982
"INDIANA",18,"PUTNAM COUNTY",133,63.197,17.612
"IOWA",19,"MONONA COUNTY",133,61.201,17.667
"KANSAS",20,"NEOSHO COUNTY",133,63.19,17.884
"KENTUCKY",21,"LETCHER COUNTY",133,54.927,21.669
"MICHIGAN",26,"OSCEOLA COUNTY",133,62.802,16.683
"MINNESOTA",27,"ROCK COUNTY",133,62.784,17.231
"MISSISSIPPI",28,"SUNFLOWER COUNTY",133,72.127,6.466
"MISSOURI",29,"MISSISSIPPI COUNTY",133,64.157,13.777
"NEBRASKA",31,"PAWNEE COUNTY",133,64.74,16.002
"NORTH CAROLINA",37,"ONSLOW COUNTY",133,67.503,14.625
"OHIO",39,"PORTAGE COUNTY",133,65.76,14.557
"OKLAHOMA",40,"SEMINOLE COUNTY",133,58.776,19.878
"PENNSYLVANIA",42,"YORK COUNTY",133,64.967,15.326
"TENNESSEE",47,"OVERTON COUNTY",133,56.647,20.919
"TEXAS",48,"EASTLAND COUNTY",133,55.342,22.217
"ARKANSAS",5,"SEVIER COUNTY",133,66.182,14.697
"VIRGINIA",51,"NORTHUMBERLAND COUNTY",133,65.782,14.187
"WISCONSIN",55,"WAUKESHA COUNTY",133,67.379,15.219
"GEORGIA",13,"GWINNETT COUNTY",135,67.039,10.088
"ILLINOIS",17,"MONTGOMERY COUNTY",135,56.692,19.061
"INDIANA",18,"RANDOLPH COUNTY",135,61.714,18.306
"IOWA",19,"MONROE COUNTY",135,60.647,17.256
"KANSAS",20,"NESS COUNTY",135,60.314,20.227
"KENTUCKY",21,"LEWIS COUNTY",135,49.229,20.677
"MICHIGAN",26,"OSCODA COUNTY",135,60.695,18.225
"MINNESOTA",27,"ROSEAU COUNTY",135,65.319,16.428
"MISSISSIPPI",28,"TALLAHATCHIE COUNTY",135,70.026,8.817
"MISSOURI",29,"MONITEAU COUNTY",135,61.644,17.565
"NEBRASKA",31,"PERKINS COUNTY",135,60.168,20.221
"NORTH CAROLINA",37,"ORANGE COUNTY",135,80.304,8.101
"OHIO",39,"PREBLE COUNTY",135,57.851,20.413
"OKLAHOMA",40,"SEQUOYAH COUNTY",135,60.246,20.113
"SOUTH DAKOTA",46,"YANKTON COUNTY",135,62.078,17.036
"TENNESSEE",47,"PERRY COUNTY",135,58.671,17.219
"TEXAS",48,"ECTOR COUNTY",135,69.453,12.968
"ARKANSAS",5,"SHARP COUNTY",135,61.787,18.52
"VIRGINIA",51,"NOTTOWAY COUNTY",135,67.117,11.171
"WISCONSIN",55,"WAUPACA COUNTY",135,62.75,17.716
"GEORGIA",13,"HABERSHAM COUNTY",137,58.589,20.679
"ILLINOIS",17,"MORGAN COUNTY",137,63.209,16.763
"INDIANA",18,"RIPLEY COUNTY",137,57.776,19.283
"IOWA",19,"MONTGOMERY COUNTY",137,62.472,17.749
"KANSAS",20,"NORTON COUNTY",137,59.934,20.278
"KENTUCKY",21,"LINCOLN COUNTY",137,59.872,18.352
