"state","s_fips","county","c_fips","prop_dem","prop_rep","prop_lib","prop_green","prop_other","ttl_votes"
"NORTH DAKOTA",38,"WILLIAMS",105,0.151318543323566,0.81896190874843,0.0252546393191014,0,0.00446490860890191,14334
"NORTH DAKOTA",38,"BOWMAN",11,0.137598068799034,0.84188292094146,0.0181050090525045,0,0.0024140012070006,1657
"NORTH DAKOTA",38,"BURKE",13,0.118614718614719,0.860606060606061,0.0173160173160173,0,0.00346320346320346,1155
"NORTH DAKOTA",38,"BURLEIGH",15,0.282702500344807,0.68457037022442,0.0269540716804918,0,0.00577305775028077,50753
"NORTH DAKOTA",38,"CASS",17,0.468443865989565,0.495264546267998,0.0289937596597446,0,0.00729782808269322,86053
"NORTH DAKOTA",38,"CAVALIER",19,0.234653465346535,0.742079207920792,0.0198019801980198,0,0.00346534653465347,2020
"NORTH DAKOTA",38,"DICKEY",21,0.250825082508251,0.718646864686469,0.025990099009901,0,0.00453795379537954,2424
"NORTH DAKOTA",38,"DIVIDE",23,0.220465890183028,0.752079866888519,0.0249584026622296,0,0.00249584026622296,1202
"NORTH DAKOTA",38,"DUNN",25,0.146278870829769,0.834473909324209,0.0166809238665526,0,0.00256629597946963,2338
"NORTH DAKOTA",38,"EDDY",27,0.303727200634417,0.677240285487708,0.0174464710547185,0,0.00158604282315623,1261
"NORTH DAKOTA",38,"EMMONS",29,0.117969138875062,0.865107018417123,0.0134395221503235,0,0.00348432055749129,2009
"NORTH DAKOTA",38,"BARNES",3,0.327044025157233,0.64115004492363,0.0289308176100629,0,0.00287511230907457,5565
"NORTH DAKOTA",38,"FOSTER",31,0.209786276715411,0.766029246344207,0.0185601799775028,0,0.00562429696287964,1778
"NORTH DAKOTA",38,"GOLDEN VALLEY",33,0.133528265107212,0.848927875243665,0.0155945419103314,0,0.00194931773879142,1026
"NORTH DAKOTA",38,"GRAND FORKS",35,0.415886341620923,0.548498546980949,0.0282208588957055,0,0.0073942525024217,30970
"NORTH DAKOTA",38,"GRANT",37,0.149891383055757,0.829109341057205,0.0202751629254164,0,0.000724112961622013,1381
"NORTH DAKOTA",38,"GRIGGS",39,0.2464,0.7256,0.0272,0,8e-04,1250
"NORTH DAKOTA",38,"HETTINGER",41,0.149390243902439,0.83155487804878,0.0175304878048781,0,0.00152439024390244,1312
"NORTH DAKOTA",38,"KIDDER",43,0.151369863013699,0.832191780821918,0.0150684931506849,0,0.00136986301369863,1460
"NORTH DAKOTA",38,"LAMOURE",45,0.237494366831906,0.741324921135647,0.0198287516899504,0,0.00135196034249662,2219
"NORTH DAKOTA",38,"LOGAN",47,0.118959107806691,0.864312267657993,0.0130111524163569,0,0.00371747211895911,1076
"NORTH DAKOTA",38,"MCHENRY",49,0.187812187812188,0.787212787212787,0.0226440226440226,0,0.00233100233100233,3003
"NORTH DAKOTA",38,"BENSON",5,0.419173890872004,0.557878633350331,0.0198878123406425,0,0.00305966343702193,1961
"NORTH DAKOTA",38,"MCINTOSH",51,0.179381443298969,0.792439862542955,0.0206185567010309,0,0.00756013745704467,1455
"NORTH DAKOTA",38,"MCKENZIE",53,0.150212216276066,0.827089868979517,0.0202989481454143,0,0.00239896659900351,5419
"NORTH DAKOTA",38,"MCLEAN",55,0.222182080924856,0.758309248554913,0.0173410404624277,0,0.00216763005780347,5536
"NORTH DAKOTA",38,"MERCER",57,0.150588235294118,0.824812834224599,0.0218181818181818,0,0.0027807486631016,4675
"NORTH DAKOTA",38,"MORTON",59,0.232986340935074,0.736686924604368,0.0259943438233347,0,0.00433239063722246,16619
"NORTH DAKOTA",38,"MOUNTRAIL",61,0.3015606242497,0.678031212484994,0.0180072028811525,0,0.00240096038415366,4165
"NORTH DAKOTA",38,"NELSON",63,0.3297692740574,0.642093415869443,0.024198086662915,0,0.00393922341024198,1777
"NORTH DAKOTA",38,"OLIVER",65,0.121013133208255,0.861163227016886,0.0168855534709193,0,0.000938086303939962,1066
"NORTH DAKOTA",38,"PEMBINA",67,0.235965175622936,0.738516961873311,0.0198138697087962,0,0.00570399279495647,3331
"NORTH DAKOTA",38,"PIERCE",69,0.233552631578947,0.744830827067669,0.0178571428571429,0,0.0037593984962406,2128
"NORTH DAKOTA",38,"BILLINGS",7,0.113385826771654,0.851968503937008,0.0330708661417323,0,0.0015748031496063,635
"NORTH DAKOTA",38,"RAMSEY",71,0.305100521221147,0.665860014892033,0.0238272524199553,0,0.00521221146686523,5372
"NORTH DAKOTA",38,"RANSOM",73,0.385085574572127,0.577832110839446,0.0350448247758761,0,0.00203748981255094,2454
