"state","s_fips","county","c_fips","ttl_pop","male_pop","female_pop","med_age","male_med_age","female_med_age","white_pop","black_pop","native_pop","asian_pop","pacific_pop","other_race_pop","mult_race_pop","white_nonhisp_pop","hisp_ttl_pop","white_hisp_pop","black_hisp_pop","med_income"
"Virginia",51,"King William County",101,16688,8160,8528,40.3,37.9,42.4,13181,2741,135,201,0,20,410,12811,442,370,59,66987
"West Virginia",54,"Webster County",101,8386,4171,4215,47.2,47.2,47.2,8352,2,0,0,3,5,24,8352,5,0,0,34927
"Wisconsin",55,"Racine County",101,195602,96899,98703,40.2,38.4,41.9,158201,22297,1039,2523,95,5374,6073,140742,25637,17459,687,61336
"California",6,"Sutter County",101,96109,47866,48243,35.7,34.6,36.9,66293,1827,878,15048,548,4730,6785,44412,29748,21881,143,59050
"Colorado",8,"Pueblo County",101,165982,81738,84244,39.3,37.8,40.6,133497,3494,6688,1489,170,13963,6681,86404,71356,47093,863,46783
"South Dakota",46,"Oglala Lakota County",102,14335,7024,7311,25.8,24.5,27.1,737,11,13378,0,0,20,189,637,585,100,0,31997
"Alabama",1,"Morgan County",103,119213,58712,60501,40.6,39.2,42.3,95265,15230,574,760,91,4612,2681,90163,9962,5102,98,52156
"Florida",12,"Pinellas County",103,964666,463198,501468,48.1,46.5,49.6,785739,98942,2812,32679,908,13396,30190,713717,93587,72022,3006,54090
"Georgia",13,"Effingham County",103,60477,29954,30523,36,35,36.9,49360,8050,106,534,29,725,1673,47339,2686,2021,94,66822
"Illinois",17,"Lee County",103,34389,18299,16090,43.2,41.5,44.9,31133,1881,92,193,31,357,702,29640,2139,1493,6,58194
"Indiana",18,"Miami County",103,35815,19028,16787,40.1,38.4,42.3,32391,1934,297,208,6,465,514,31775,1151,616,8,50657
"Iowa",19,"Johnson County",103,148577,73612,74965,30.3,30.1,30.5,121408,10815,288,9271,102,3239,3454,116441,8345,4967,114,62542
"Kansas",20,"Leavenworth County",103,80745,43283,37462,37.8,37,39.3,66592,7124,587,1170,81,1659,3532,63710,5661,2882,513,73013
"Kentucky",21,"Henry County",103,15911,7910,8001,41.4,39.2,42.6,14844,472,0,100,19,187,289,14548,518,296,0,53926
"Louisiana",22,"St. Tammany Parish",103,255155,123830,131325,40.2,38.9,41.2,211276,30925,1489,4135,51,2539,4740,200457,14329,10819,396,68905
"Michigan",26,"Marquette County",103,66686,33610,33076,39.1,38.5,39.4,62152,1118,545,627,32,141,2071,61408,1016,744,13,53970
"Minnesota",27,"Nicollet County",103,33954,17018,16936,36.3,36,36.8,31228,958,13,592,0,288,875,30099,1548,1129,21,67399
"Mississippi",28,"Noxubee County",103,10700,4993,5707,37,35,38.6,2916,7721,0,5,0,0,58,2766,150,150,0,33784
"Missouri",29,"Knox County",103,3947,1977,1970,44.1,43.1,45.3,3804,18,0,24,2,23,76,3797,43,7,0,40000
"Montana",30,"Treasure County",103,668,328,340,56.8,58.7,55.6,632,0,0,28,0,2,6,630,4,2,0,43047
"Nebraska",31,"Keya Paha County",103,760,366,394,45.3,46,44.9,749,0,0,0,0,1,10,749,7,0,0,56500
"New York",36,"Suffolk County",103,1483832,730427,753405,41.5,40,43.1,1196719,116018,4212,58204,418,74432,33829,1002590,286577,194129,8305,101031
"North Carolina",37,"Jones County",103,9594,4750,4844,48.5,44.4,50.4,6303,2923,96,8,0,97,167,6003,443,300,10,38158
"North Dakota",38,"Wells County",103,3976,1980,1996,51.6,50.1,52.7,3892,0,9,9,0,6,60,3828,100,64,0,57582
"Ohio",39,"Medina County",103,177980,88299,89681,42.2,41.1,43.5,169681,2675,261,1997,0,713,2653,166999,3760,2682,120,76600
"Oklahoma",40,"Noble County",103,11335,5601,5734,41.2,40.5,41.7,9392,30,873,9,4,77,950,9184,439,208,0,56117
"Pennsylvania",42,"Pike County",103,55453,28148,27305,48.2,46.9,49.2,49074,3526,58,661,38,766,1330,44597,6052,4477,543,65928
"South Dakota",46,"Pennington County",103,110685,55795,54890,39,37.9,40.4,91710,1336,9859,1425,198,564,5593,88441,5730,3269,39,57039
"Tennessee",47,"Lincoln County",103,33924,16669,17255,42.6,40.4,44.9,30413,2428,70,195,0,57,761,29456,1192,957,23,49485
"Texas",48,"Crane County",103,4802,2458,2344,32.7,30.6,33.2,2543,129,15,95,0,2020,0,1495,3091,1048,18,65969
"Arkansas",5,"Ouachita County",103,23830,11371,12459,43,40.1,45.1,13582,9923,19,18,0,22,266,13137,558,445,57,35425
"Virginia",51,"Lancaster County",103,10724,5034,5690,57.3,56.1,58.4,7299,3305,0,90,0,5,25,7237,67,62,0,53711
"West Virginia",54,"Wetzel County",103,15436,7469,7967,46,45.3,46.4,15093,164,0,0,0,41,138,14961,132,132,0,43107
"Wisconsin",55,"Richland County",103,17459,8766,8693,45.3,43.7,46.2,16672,164,67,126,1,277,152,16515,405,157,11,51947
"California",6,"Tehama County",103,63912,31773,32139,41,39.6,42.6,54795,530,1255,967,28,3470,2867,43679,15958,11116,58,44514
"Colorado",8,"Rio Blanco County",103,6384,3260,3124,36.9,37.6,35.9,5898,30,73,8,0,18,357,5404,655,494,0,54357
"Alabama",1,"Perry County",105,9293,4263,5030,36.9,35.5,38.6,2737,6491,3,8,0,54,0,2727,110,10,50,23447
"Florida",12,"Polk County",105,686218,336279,349939,40.2,39.1,41.3,528843,104676,2358,12244,301,20845,16951,404039,154628,124804,3928,50584
"Georgia",13,"Elbert County",105,19166,9205,9961,42.6,40.3,44.9,13059,5727,0,109,0,107,164,12173,1093,886,53,38678
"Illinois",17,"Livingston County",105,36040,18429,17611,42,39.8,44.7,33377,1520,2,308,0,263,570,32131,1647,1246,32,55160
"Indiana",18,"Monroe County",105,146461,72846,73615,29.6,28.7,30.6,126086,4469,330,9784,23,744,5025,122315,4998,3771,38,49839
"Iowa",19,"Jones County",105,20559,10633,9926,43.1,42.1,44.6,19621,435,27,196,0,0,280,19299,418,322,0,57549
"Alaska",2,"Hoonah-Angoon Census Area",105,2139,1142,997,49.6,49.8,49.4,986,68,804,34,0,24,223,937,146,49,3,59803
"Kansas",20,"Lincoln County",105,3044,1561,1483,46.5,44.4,49.9,2986,5,0,0,0,0,53,2884,102,102,0,45076
"Kentucky",21,"Hickman County",105,4510,2137,2373,48,48.1,46.8,3913,377,18,32,0,20,150,3899,83,14,0,42929
"Louisiana",22,"Tangipahoa Parish",105,132057,63939,68118,35.3,34.6,36,88627,38910,341,989,0,375,2815,83496,5642,5131,116,47832
"Michigan",26,"Mason County",105,28954,14333,14621,46.2,45.2,47.6,27438,261,285,167,0,196,607,26481,1322,957,0,51725
"Minnesota",27,"Nobles County",105,21734,11256,10478,35.7,35.3,36.2,16901,928,145,1508,2,1684,566,12922,6047,3979,62,55304
"Mississippi",28,"Oktibbeha County",105,49512,24737,24775,26.1,25,27.1,28406,18312,55,1635,29,261,814,27946,837,460,35,40453
"Missouri",29,"Laclede County",105,35531,17431,18100,40.3,39.4,41.5,33751,205,344,131,4,153,943,33083,872,668,0,47257
"Montana",30,"Valley County",105,7471,3700,3771,44.3,42.6,44.9,6429,29,665,16,22,46,264,6313,203,116,0,53162
"Nebraska",31,"Kimball County",105,3633,1816,1817,46.3,45.2,48.3,3423,3,42,12,0,5,148,3132,347,291,0,53403
"New York",36,"Sullivan County",105,75116,38485,36631,42.8,42.4,43.4,59949,5990,196,1265,0,4283,3433,53719,12009,6230,430,57426
"North Carolina",37,"Lee County",105,60481,29309,31172,38.6,37.1,40.1,44592,12273,498,807,31,1334,946,35156,11584,9436,481,49994
"North Dakota",38,"Williams County",105,35208,19250,15958,31.3,31.4,31.2,28778,1572,1081,341,47,1779,1610,28003,2709,775,8,87161
"Ohio",39,"Meigs County",105,23078,11549,11529,43.6,42.5,44.6,22417,256,13,1,0,40,351,22306,170,111,0,44899
"Oklahoma",40,"Nowata County",105,10322,5091,5231,42.4,41.1,43.5,7007,253,1553,15,19,151,1324,6887,318,120,0,43145
"Pennsylvania",42,"Potter County",105,16806,8389,8417,47.2,46,48.7,16346,67,37,59,0,44,253,16217,229,129,0,45419
"South Dakota",46,"Perkins County",105,2897,1504,1393,47.5,44.5,50.2,2753,0,108,0,0,4,32,2730,29,23,0,57981
"Tennessee",47,"Loudon County",105,52340,25614,26726,47.6,46.6,48.7,49169,510,93,375,0,1161,1032,45899,4595,3270,28,58065
"Texas",48,"Crockett County",105,3484,1680,1804,38.8,44.1,38.3,1494,24,0,0,0,1931,35,1304,2156,190,0,47386
"Arkansas",5,"Perry County",105,10355,5172,5183,43.7,42.9,44.1,9963,69,11,0,0,186,126,9885,303,78,13,48667
"Virginia",51,"Lee County",105,23948,12530,11418,44.9,43.1,47.6,22408,978,64,63,0,153,282,22247,473,161,45,32888
"West Virginia",54,"Wirt County",105,5798,2936,2862,45.4,45.6,45.3,5762,26,0,0,0,10,0,5735,27,27,0,46048
"Wisconsin",55,"Rock County",105,162152,79875,82277,39.5,38.3,41,141160,7083,418,2035,28,6242,5186,134318,14107,6842,87,57875
"California",6,"Trinity County",105,12700,6535,6165,52.5,52.3,53.2,10924,127,716,226,28,428,251,10427,927,497,0,40846
"Colorado",8,"Rio Grande County",105,11305,5632,5673,42.1,40.8,43.1,10346,106,266,8,14,326,239,5887,5020,4459,44,39123
"Alabama",1,"Pickens County",107,20243,9637,10606,42.2,39,44.2,11477,8134,28,12,12,278,302,10860,985,617,69,39848
"Florida",12,"Putnam County",107,73252,36255,36997,45.1,43.6,46.4,58814,11922,309,456,5,347,1399,52366,7319,6448,192,37670
"Georgia",13,"Emanuel County",107,22533,11047,11486,36.9,35.5,38.7,14069,7636,57,82,0,235,454,13355,1015,714,4,37453
"Illinois",17,"Logan County",107,29003,14298,14705,40.1,39.5,40.9,25667,2003,73,218,10,230,802,25049,985,618,19,57308
"Indiana",18,"Montgomery County",107,38287,19388,18899,40.2,38.8,42.2,36484,277,67,314,11,224,910,35177,1836,1307,0,55522
"Iowa",19,"Keokuk County",107,10188,5180,5008,43.7,41.8,45.4,9932,46,24,29,2,37,118,9818,178,114,0,52881
"Kansas",20,"Linn County",107,9671,4847,4824,44.4,44.2,44.8,9258,80,64,50,0,13,206,9047,261,211,27,48778
"Kentucky",21,"Hopkins County",107,45331,22126,23205,41.8,39.4,43.5,40802,2916,90,269,6,166,1082,40115,949,687,5,47170
"Louisiana",22,"Tensas Parish",107,4561,2247,2314,43.4,40,48.8,1979,2525,0,5,0,50,2,1927,94,52,0,27500
"Michigan",26,"Mecosta County",107,43251,21810,21441,36.9,34.5,39.2,40183,1296,278,370,9,132,983,39451,992,732,21,45018
"Minnesota",27,"Norman County",107,6520,3320,3200,43.8,43,44.7,6080,65,145,26,0,44,160,5832,332,248,6,55085
"Mississippi",28,"Panola County",107,34190,16482,17708,38.3,36.2,40.1,16647,16616,64,5,21,49,788,16042,699,605,86,38304
"Missouri",29,"Lafayette County",107,32597,16270,16327,42.3,41.5,43.1,30578,717,90,174,75,300,663,29981,942,597,0,58766
"Montana",30,"Wheatland County",107,2142,1032,1110,41.1,39.8,43.2,2024,0,73,7,0,0,38,2000,67,24,0,39655
"Nebraska",31,"Knox County",107,8426,4177,4249,45.6,44.3,47.9,7316,34,797,27,2,59,191,7216,242,100,0,52332
"New York",36,"Tioga County",107,48686,24144,24542,44.5,43.2,45.8,46870,327,107,374,5,256,747,46251,948,619,27,62999
"North Carolina",37,"Lenoir County",107,56756,27219,29537,42.7,40.2,45.1,31205,22205,119,279,26,771,2151,27933,4414,3272,262,39402
"Ohio",39,"Mercer County",107,40884,20670,20214,39.6,38.3,41.5,39658,335,0,228,236,135,292,38994,788,664,0,62952
"Oklahoma",40,"Okfuskee County",107,12067,6487,5580,40.2,39.8,40.7,7657,895,1768,0,0,73,1674,7396,481,261,4,38411
"Pennsylvania",42,"Schuylkill County",107,142674,72953,69721,44.4,42.5,46.4,133647,4538,308,703,11,1464,2003,129831,6284,3816,404,52280
"South Dakota",46,"Potter County",107,2315,1173,1142,49.2,47.2,51.1,2119,0,58,41,0,15,82,2119,37,0,0,54583
"Tennessee",47,"McMinn County",107,53053,25838,27215,42.6,42.4,42.9,49050,1953,205,415,37,311,1082,47330,2130,1720,30,43285
"Texas",48,"Crosby County",107,5836,2899,2937,38.4,36.7,40.1,5148,212,0,33,11,342,90,2299,3269,2849,29,40759
"Arkansas",5,"Phillips County",107,18606,8738,9868,38.9,36.5,40.5,6719,11750,7,0,0,39,91,6420,350,299,0,29320
"Virginia",51,"Loudoun County",107,395134,195769,199365,36.2,36,36.5,256660,29906,1123,73381,417,13282,20365,221708,53812,34952,1239,142299
"West Virginia",54,"Wood County",107,84960,41052,43908,43.5,42.2,44.7,81720,1208,378,445,51,95,1063,80844,978,876,4,47321
