"state","s_fips","county","c_fips","weather_type","year"
"WISCONSIN",55,"ASHLAND COUNTY",3,"Severe Storm(s)","2016"
"ARKANSAS",5,"ASHLEY COUNTY",3,"Severe Storm(s)","2016"
"WASHINGTON",53,"ASOTIN COUNTY",3,"Fire","2015"
"LOUISIANA",22,"ASSUMPTION PARISH",7,"Hurricane","2017"
"LOUISIANA",22,"ASSUMPTION PARISH",7,"Flood","2019"
"LOUISIANA",22,"ASSUMPTION PARISH",7,"Coastal Storm","2019"
"LOUISIANA",22,"ASSUMPTION PARISH",7,"Flood","2016"
"LOUISIANA",22,"ASSUMPTION PARISH",7,"Hurricane","2019"
"TEXAS",48,"ATASCOSA COUNTY",13,"Severe Storm(s)","2015"
"KANSAS",20,"ATCHISON COUNTY",5,"Severe Storm(s)","2015"
"KANSAS",20,"ATCHISON COUNTY",5,"Severe Storm(s)","2019"
"MISSOURI",29,"ATCHISON COUNTY",5,"Severe Storm(s)","2019"
"MISSOURI",29,"ATCHISON COUNTY",5,"Flood","2019"
"MISSOURI",29,"ATCHISON COUNTY",5,"Severe Storm(s)","2015"
"OHIO",39,"ATHENS COUNTY",9,"Flood","2018"
"OHIO",39,"ATHENS COUNTY",9,"Flood","2019"
"GEORGIA",13,"ATKINSON COUNTY",3,"Hurricane","2017"
"GEORGIA",13,"ATKINSON COUNTY",3,"Hurricane","2018"
"GEORGIA",13,"ATKINSON COUNTY",3,"Hurricane","2016"
"NEW JERSEY",34,"ATLANTIC COUNTY",1,"Severe Storm(s)","2015"
"NEW JERSEY",34,"ATLANTIC COUNTY",1,"Severe Storm(s)","2016"
"OKLAHOMA",40,"ATOKA COUNTY",5,"Severe Storm(s)","2015"
"OKLAHOMA",40,"ATOKA COUNTY",5,"Severe Storm(s)","2019"
"MISSOURI",29,"AUDRAIN COUNTY",7,"Flood","2016"
"MISSOURI",29,"AUDRAIN COUNTY",7,"Severe Storm(s)","2015"
"IOWA",19,"AUDUBON COUNTY",9,"Flood","2019"
"OHIO",39,"AUGLAIZE COUNTY",11,"Tornado","2019"
"VIRGINIA",51,"AUGUSTA COUNTY",15,"Hurricane","2018"
"SOUTH DAKOTA",46,"AURORA COUNTY",3,"Severe Storm(s)","2019"
"SOUTH DAKOTA",46,"AURORA COUNTY",3,"Flood","2019"
"TEXAS",48,"AUSTIN COUNTY",15,"Flood","2016"
"TEXAS",48,"AUSTIN COUNTY",15,"Severe Storm(s)","2015"
"TEXAS",48,"AUSTIN COUNTY",15,"Hurricane","2017"
"ALABAMA",1,"AUTAUGA COUNTY",1,"Hurricane","2017"
"ALABAMA",1,"AUTAUGA COUNTY",1,"Severe Storm(s)","2016"
"NORTH CAROLINA",37,"AVERY COUNTY",11,"Hurricane","2019"
"NORTH CAROLINA",37,"AVERY COUNTY",11,"Hurricane","2018"
"LOUISIANA",22,"AVOYELLES PARISH",9,"Coastal Storm","2019"
"LOUISIANA",22,"AVOYELLES PARISH",9,"Flood","2016"
"COLORADO",8,"BACA COUNTY",9,"Flood","2015"
"GEORGIA",13,"BACON COUNTY",5,"Hurricane","2017"
"GEORGIA",13,"BACON COUNTY",5,"Hurricane","2016"
"GEORGIA",13,"BACON COUNTY",5,"Hurricane","2018"
"TEXAS",48,"BAILEY COUNTY",17,"Severe Storm(s)","2016"
"FLORIDA",12,"BAKER COUNTY",3,"Hurricane","2017"
"FLORIDA",12,"BAKER COUNTY",3,"Hurricane","2016"
"FLORIDA",12,"BAKER COUNTY",3,"Hurricane","2018"
"FLORIDA",12,"BAKER COUNTY",3,"Hurricane","2019"
"GEORGIA",13,"BAKER COUNTY",7,"Hurricane","2017"
"GEORGIA",13,"BAKER COUNTY",7,"Hurricane","2018"
"GEORGIA",13,"BAKER COUNTY",7,"Severe Storm(s)","2016"
"GEORGIA",13,"BAKER COUNTY",7,"Tornado","2017"
"GEORGIA",13,"BAKER COUNTY",7,"Severe Storm(s)","2017"
"OREGON",41,"BAKER COUNTY",1,"Fire","2015"
"ALABAMA",1,"BALDWIN COUNTY",3,"Hurricane","2018"
"ALABAMA",1,"BALDWIN COUNTY",3,"Hurricane","2017"
"GEORGIA",13,"BALDWIN COUNTY",9,"Hurricane","2018"
"GEORGIA",13,"BALDWIN COUNTY",9,"Hurricane","2017"
"KENTUCKY",21,"BALLARD COUNTY",7,"Severe Storm(s)","2019"
"KENTUCKY",21,"BALLARD COUNTY",7,"Snow","2015"
"MARYLAND",24,"BALTIMORE COUNTY",5,"Flood","2018"
"MARYLAND",24,"BALTIMORE COUNTY",5,"Snow","2016"
"SOUTH CAROLINA",45,"BAMBERG COUNTY",9,"Hurricane","2016"
"SOUTH CAROLINA",45,"BAMBERG COUNTY",9,"Hurricane","2018"
"SOUTH CAROLINA",45,"BAMBERG COUNTY",9,"Severe Storm(s)","2015"
"SOUTH CAROLINA",45,"BAMBERG COUNTY",9,"Hurricane","2019"
"SOUTH CAROLINA",45,"BAMBERG COUNTY",9,"Hurricane","2017"
"SOUTH CAROLINA",45,"BAMBERG COUNTY",9,"Flood","2015"
"TEXAS",48,"BANDERA COUNTY",19,"Flood","2016"
"GEORGIA",13,"BANKS COUNTY",11,"Hurricane","2017"
"GEORGIA",13,"BANKS COUNTY",11,"Severe Ice Storm","2015"
"NEBRASKA",31,"BANNER COUNTY",7,"Flood","2019"
"NEBRASKA",31,"BANNER COUNTY",7,"Severe Storm(s)","2017"
"KANSAS",20,"BARBER COUNTY",7,"Severe Storm(s)","2018"
"KANSAS",20,"BARBER COUNTY",7,"Fire","2016"
"KANSAS",20,"BARBER COUNTY",7,"Severe Storm(s)","2019"
"ALABAMA",1,"BARBOUR COUNTY",5,"Hurricane","2018"
"ALABAMA",1,"BARBOUR COUNTY",5,"Hurricane","2017"
"ALABAMA",1,"BARBOUR COUNTY",5,"Severe Storm(s)","2016"
"WEST VIRGINIA",54,"BARBOUR COUNTY",1,"Severe Storm(s)","2015"
"NORTH DAKOTA",38,"BARNES COUNTY",3,"Flood","2019"
"MASSACHUSETTS",25,"BARNSTABLE COUNTY",1,"Severe Storm(s)","2015"
"MASSACHUSETTS",25,"BARNSTABLE COUNTY",1,"Severe Storm(s)","2018"
"SOUTH CAROLINA",45,"BARNWELL COUNTY",11,"Hurricane","2016"
"SOUTH CAROLINA",45,"BARNWELL COUNTY",11,"Hurricane","2017"
"SOUTH CAROLINA",45,"BARNWELL COUNTY",11,"Severe Storm(s)","2015"
