disasterNumber,declarationDate,disasterName,incidentBeginDate,incidentEndDate,declarationType,stateCode,stateName,incidentType,entryDate,updateDate,closeoutDate,hash,lastRefresh,id
4583,2021-02-04T00:00:00.000Z,TROPICAL STORM ISAIAS,2020-08-03T00:00:00.000Z,2020-08-04T00:00:00.000Z,Major Disaster,MD,Maryland,Hurricane,2021-02-04T00:00:00.000Z,2021-03-24T00:00:00.000Z,,97d2d21d91a7d87d217e144600b853401a3dd0ab,2021-07-13T23:01:14.036Z,601c1a53a41acb24f2c7f5a5
4584,2021-02-04T00:00:00.000Z,WILDFIRES AND STRAIGHT-LINE WINDS,2020-09-01T00:00:00.000Z,2020-09-19T00:00:00.000Z,Major Disaster,WA,Washington,Fire,2021-02-04T00:00:00.000Z,2021-02-04T00:00:00.000Z,,b31315b5de7de2bf4815cac8625ce62365aec231,2021-07-13T23:01:14.037Z,601c1f02a41acb24f2d04f3c
3554,2021-02-14T00:00:00.000Z,SEVERE WINTER STORM,2021-02-11T00:00:00.000Z,2021-02-21T00:00:00.000Z,Emergency,TX,Texas,Severe Ice Storm,2021-02-15T00:00:00.000Z,2021-05-21T00:00:00.000Z,2021-05-14T00:00:00.000Z,301113475c895a0c8fb647aeca3b19ea56b827f2,2021-07-13T23:01:14.036Z,6029d5f7a41acb24f28a6685
4585,2021-02-17T00:00:00.000Z,"SEVERE STORM, FLOODING, LANDSLIDES, AND MUDSLIDES",2020-11-30T00:00:00.000Z,2020-12-02T00:00:00.000Z,Major Disaster,AK,Alaska,Mud/Landslide,2021-02-17T00:00:00.000Z,2021-02-17T00:00:00.000Z,,6cbbd5a40d2e996578e348e82f634b4945dd7e81,2021-07-13T23:01:14.036Z,602d5090a41acb24f24194b4
3555,2021-02-17T00:00:00.000Z,SEVERE WINTER STORM,2021-02-08T00:00:00.000Z,2021-02-20T00:00:00.000Z,Emergency,OK,Oklahoma,Severe Ice Storm,2021-02-18T00:00:00.000Z,2021-03-04T00:00:00.000Z,,5dd522fa7958582691674a0a728b760cb489738b,2021-07-13T23:01:14.036Z,602e6078a41acb24f256ed7c
3556,2021-02-18T00:00:00.000Z,SEVERE WINTER STORM,2021-02-11T00:00:00.000Z,2021-02-19T00:00:00.000Z,Emergency,LA,Louisiana,Severe Ice Storm,2021-02-18T00:00:00.000Z,2021-09-15T00:00:00.000Z,,af859913f22482b16596604d13fa129fcca2909a,2021-09-15T17:41:23.157Z,602edf05a41acb24f258ea01
4586,2021-02-19T00:00:00.000Z,SEVERE WINTER STORMS,2021-02-11T00:00:00.000Z,2021-02-21T00:00:00.000Z,Major Disaster,TX,Texas,Severe Ice Storm,2021-02-20T00:00:00.000Z,2021-03-04T00:00:00.000Z,,0b75c31828940e3d88b3ab592ca1b87eb494e564,2021-07-13T23:01:14.035Z,6030979da41acb24f2ae4adb
4587,2021-02-24T00:00:00.000Z,SEVERE WINTER STORMS,2021-02-08T00:00:00.000Z,2021-02-20T00:00:00.000Z,Major Disaster,OK,Oklahoma,Severe Ice Storm,2021-02-25T00:00:00.000Z,2021-02-25T00:00:00.000Z,,fea121c358ff1a57346e0887919857715a2d6010,2021-07-13T23:01:14.035Z,6036ed80a41acb24f22929ef
4588,2021-03-03T00:00:00.000Z,TROPICAL STORM ETA,2020-11-12T00:00:00.000Z,2020-11-15T00:00:00.000Z,Major Disaster,NC,North Carolina,Severe Storm(s),2021-03-04T00:00:00.000Z,2021-03-04T00:00:00.000Z,,1b17175654d8ebc06ce48946db11c079c999f53b,2021-07-13T23:01:14.034Z,6040faf7460b6fb83e20bac4
4589,2021-03-04T00:00:00.000Z,STRAIGHT-LINE WINDS,2021-01-13T00:00:00.000Z,2021-01-13T00:00:00.000Z,Major Disaster,ID,Idaho,Severe Storm(s),2021-03-04T00:00:00.000Z,2021-03-04T00:00:00.000Z,,2c866bc9317f99a8bb894d2312ef748393a939a3,2021-07-13T23:01:14.034Z,60414aa4460b6fb83ecace1b
